BASE_DATE,ID_KISP,CLEAN_PRICE,MAT_YLD,MAT_MOD_DUR,MAT_CONVEX
20171014,XS1388938802,96.81949873,0.0312039,7.59248,30.8932038
20171015,XS1388938802,96.82134578,0.0312025,7.5897553,30.8724813
20171016,XS1388938802,96.82319262,0.0312012,7.5870306,30.8517664
20171017,XS1388938802,97.05311946,0.0308856,7.5859119,30.8396535
20171018,XS1388938802,96.84305858,0.0311762,7.5821658,30.8138216
20171019,XS1388938802,96.91441191,0.0310789,7.5800671,30.7966021
20171020,XS1388938802,96.60656189,0.0315055,7.5751796,30.7643666
20171021,XS1388938802,96.53354744,0.0316079,7.5717147,30.7395809
20171022,XS1388938802,96.53538387,0.0316067,7.5689893,30.7189107
20171023,XS1388938802,96.53722017,0.0316055,7.5662639,30.6982479
20171024,XS1388938802,96.37512878,0.0318319,7.5625828,30.6726356
20171025,XS1388938802,96.36190423,0.0318516,7.5595792,30.6503996
20171026,XS1388938802,96.14618258,0.0321535,7.555466,30.6224173
20171027,XS1388938802,96.086316,0.0322385,7.5522512,30.5991294
20171028,XS1388938802,95.7393732,0.0327254,7.5472328,30.5664317
20171029,XS1388938802,95.74141836,0.0327242,7.5445079,30.5458302
20171030,XS1388938802,95.74346339,0.0327229,7.541783,30.5252361
20171031,XS1388938802,96.23871664,0.0320317,7.5422965,30.5216198
20171101,XS1388938802,96.52276723,0.0316362,7.5414647,30.5110722
20171102,XS1388938802,96.28642415,0.0319667,7.5374215,30.4837353
20171103,XS1388938802,96.49369705,0.0316793,7.5362777,30.4715765
20171104,XS1388938802,96.59632233,0.0315379,7.5343108,30.4550547
20171105,XS1388938802,96.59808303,0.0315368,7.5315846,30.4344825
20171106,XS1388938802,96.59984386,0.0315356,7.5288584,30.4139178
20171107,XS1388938802,96.69597545,0.0314033,7.5269763,30.3978357
20171108,XS1388938802,96.74630745,0.0313346,7.5246932,30.3796938
20171109,XS1388938802,96.88430134,0.0311442,7.5231482,30.3654554
20171110,XS1388938802,96.73940054,0.0313467,7.519629,30.3409079
20171111,XS1388938802,96.46970792,0.0317237,7.5148374,30.3093459
20171112,XS1388938802,96.47140501,0.0317227,7.5121102,30.2888211
20171113,XS1388938802,96.47310238,0.0317217,7.5093829,30.268304
20171114,XS1388938802,96.28353732,0.0319881,7.5053446,30.2408707
20171115,XS1388938802,96.17191631,0.0321459,7.5022071,30.2184514
20171116,XS1388938802,96.47551254,0.0317225,7.5016482,30.209362
20171117,XS1388938802,96.55208093,0.0316169,7.4997518,30.193458
20171118,XS1388938802,96.50346727,0.0316862,7.4967471,30.1714829
20171119,XS1388938802,96.50513743,0.0316852,7.4940192,30.1510047
20171120,XS1388938802,96.50680756,0.0316843,7.4912913,30.130534
20171121,XS1388938802,96.68180537,0.0314411,7.4899305,30.11731
20171122,XS1388938802,96.38938086,0.0318514,7.4856444,30.0890645
20171123,XS1388938802,96.43866896,0.0317838,7.4834999,30.071816
20171124,XS1388938802,96.7167449,0.0313963,7.4822214,30.0585651
20171125,XS1388938802,96.57993675,0.0315888,7.4786297,30.0336921
20171126,XS1388938802,96.58149885,0.031588,7.4759007,30.0132576
20171127,XS1388938802,96.58306112,0.0315872,7.4731716,29.9928306
20171128,XS1388938802,96.5253414,0.0316694,7.4702244,29.9714062
20171129,XS1388938802,96.66748537,0.0314717,7.4683615,29.9553939
20171130,XS1388938802,96.61916836,0.0315407,7.4652567,29.9330501
20171201,XS1388938802,96.26247257,0.0320428,7.4600671,29.8998789
20171202,XS1388938802,96.05825843,0.032332,7.4561059,29.8732169
20171203,XS1388938802,96.05989685,0.0323313,7.4533764,29.8528407
20171204,XS1388938802,96.06153571,0.0323306,7.4506468,29.8324721
20171205,XS1388938802,96.06610772,0.0323257,7.4483715,29.8149145
20171206,XS1388938802,96.15875527,0.0321966,7.4465795,29.7995287
20171207,XS1388938802,96.46440356,0.0317676,7.4461203,29.7911135
20171208,XS1388938802,96.46629184,0.0317664,7.4433277,29.7703853
20171209,XS1388938802,96.29000266,0.0320161,7.4391761,29.7425495
20171210,XS1388938802,96.29146394,0.0320155,7.4364448,29.7222109
20171211,XS1388938802,96.29292541,0.032015,7.4337136,29.7018798
20171212,XS1388938802,96.29071733,0.0320196,7.4307312,29.6800804
20171213,XS1388938802,96.33783061,0.0319546,7.4287149,29.6636828
20171214,XS1388938802,96.15576756,0.0322133,7.4248103,29.6373819
20171215,XS1388938802,96.42492378,0.0318347,7.4235544,29.6244455
20171216,XS1388938802,96.44254265,0.0318114,7.4213247,29.6070548
20171217,XS1388938802,96.44401437,0.0318107,7.4185938,29.586767
20171218,XS1388938802,96.44548611,0.0318101,7.4158628,29.5664867
20171219,XS1388938802,96.38037282,0.0319035,7.4130635,29.5461424
20171220,XS1388938802,96.22882948,0.0321193,7.4088803,29.5180541
20171221,XS1388938802,95.82028738,0.0327007,7.4032772,29.4829322
20171222,XS1388938802,95.65866471,0.0329326,7.3992614,29.4559182
20171223,XS1388938802,95.6039505,0.0330125,7.3963888,29.4351966
20171224,XS1388938802,95.60565387,0.0330119,7.3936586,29.4149797
20171225,XS1388938802,95.60735729,0.0330113,7.3909284,29.3947703
20171226,XS1388938802,95.60906077,0.0330107,7.3881983,29.3745685
20171227,XS1388938802,95.55753631,0.0330862,7.3853599,29.3539407
20171228,XS1388938802,95.66277839,0.0329376,7.3834218,29.3378431
20171229,XS1388938802,96.00398266,0.0324529,7.3832365,29.3309623
20171230,XS1388938802,95.92756091,0.0325634,7.3800319,29.3083454
20171231,XS1388938802,95.92907227,0.032563,7.3773002,29.2881656
20180101,XS1388938802,95.93805918,0.0325501,7.3745682,29.2679925
20180102,XS1388938802,95.93957393,0.0325497,7.3718363,29.247827
20180103,XS1388938802,96.10787013,0.0323117,7.3701479,29.2329146
20180104,XS1388938802,95.74654363,0.0328287,7.3650606,29.2006711
20180105,XS1388938802,95.78594982,0.0327742,7.3629571,29.1839583
20180106,XS1388938802,95.77870144,0.0327863,7.3604129,29.1650168
20180107,XS1388938802,95.78028982,0.0327858,7.357681,29.1448903
20180108,XS1388938802,95.78187844,0.0327853,7.3549491,29.1247713
20180109,XS1388938802,95.6289624,0.0330061,7.351066,29.0987494
20180110,XS1388938802,95.58204808,0.0330753,7.3479387,29.0766195
20180111,XS1388938802,95.09217558,0.0337823,7.3414414,29.0371114
20180112,XS1388938802,95.27744087,0.0335172,7.3399628,29.0233971
20180113,XS1388938802,95.233134,0.0335831,7.3370593,29.0025436
20180114,XS1388938802,95.23492236,0.0335825,7.3343287,28.9824867
20180115,XS1388938802,95.23671078,0.033582,7.3315981,28.9624373
20180116,XS1388938802,95.18903109,0.0336528,7.3287787,28.9421785
20180117,XS1388938802,95.22245698,0.0336066,7.3263851,28.9239473
20180118,XS1388938802,95.10750689,0.0337748,7.3230157,28.900838
20180119,XS1388938802,94.88200158,0.0341037,7.3187799,28.8733083
20180120,XS1388938802,94.67056369,0.0344131,7.3142266,28.8438355
20180121,XS1388938802,94.6724851,0.0344126,7.3114962,28.8238412
20180122,XS1388938802,94.67440666,0.0344121,7.3087658,28.8038544
20180123,XS1388938802,94.59780593,0.034526,7.3056664,28.7821678
20180124,XS1388938802,94.62632663,0.0344868,7.3030782,28.762894
20180125,XS1388938802,94.80280824,0.0342321,7.3015567,28.7489972
20180126,XS1388938802,94.70281006,0.03438,7.2980157,28.724765
20180127,XS1388938802,94.75761975,0.0343024,7.2959666,28.7084787
20180128,XS1388938802,94.75951468,0.0343019,7.2932361,28.6885339
20180129,XS1388938802,94.76140966,0.0343014,7.2905056,28.6685966
20180130,XS1388938802,94.31210184,0.0349605,7.2848063,28.6339823
20180131,XS1388938802,94.23483428,0.0350763,7.2812498,28.6096743
20180201,XS1388938802,94.42580675,0.0347964,7.2794457,28.5942055
20180202,XS1388938802,94.25389083,0.0350509,7.2760862,28.5715972
20180203,XS1388938802,93.86649991,0.0356234,7.2703847,28.536573
20180204,XS1388938802,93.86858399,0.0356231,7.2676544,28.5166978
20180205,XS1388938802,93.87066824,0.0356227,7.2649241,28.4968302
20180206,XS1388938802,93.32630321,0.0364317,7.2574849,28.4526237
20180207,XS1388938802,94.48793964,0.0347199,7.2626102,28.4718413
20180208,XS1388938802,94.12080187,0.0352618,7.2578034,28.4419525
20180209,XS1388938802,93.64831733,0.0359625,7.2516658,28.4049983
20180210,XS1388938802,93.6970252,0.0358931,7.2491344,28.3860127
20180211,XS1388938802,93.69934857,0.0358925,7.2464069,28.3662091
20180212,XS1388938802,93.7016942,0.0358918,7.2436795,28.3464141
20180213,XS1388938802,93.45615307,0.0362591,7.2388191,28.315821
20180214,XS1388938802,93.56745875,0.0360966,7.2368852,28.2998247
20180215,XS1388938802,93.75481051,0.0358214,7.2357993,28.2884162
